Ligand_Name,Binding_Affinity_kcal_mol
mol_1126.pdbqt,-8.61
mol_1255.pdbqt,-7.053
mol_1395.pdbqt,-10.341
mol_803.pdbqt,-11.507
mol_1834.pdbqt,-9.53
mol_1105.pdbqt,-9.976
mol_1434.pdbqt,-9.095
mol_374.pdbqt,-9.547
mol_1507.pdbqt,-10.518
mol_953.pdbqt,-9.561
mol_814.pdbqt,-9.675
mol_369.pdbqt,-9.604
mol_173.pdbqt,-10.288
mol_1441.pdbqt,-9.146
mol_1451.pdbqt,-9.235
mol_1673.pdbqt,-10.0
mol_334.pdbqt,-9.115
mol_1693.pdbqt,-10.119
mol_271.pdbqt,-9.753
mol_131.pdbqt,-9.698
mol_772.pdbqt,-10.0
mol_1689.pdbqt,-10.822
mol_903.pdbqt,-10.378
mol_1599.pdbqt,-8.253
mol_837.pdbqt,-9.526
mol_540.pdbqt,-10.273
mol_466.pdbqt,-9.663
mol_1832.pdbqt,-9.61
mol_1058.pdbqt,-8.544
mol_1988.pdbqt,-9.7
mol_693.pdbqt,-8.448
mol_306.pdbqt,-10.436
mol_568.pdbqt,-9.149
mol_1384.pdbqt,-9.575
mol_75.pdbqt,-9.534
mol_1262.pdbqt,-10.093
mol_1701.pdbqt,-10.823
mol_335.pdbqt,-9.015
mol_1134.pdbqt,-9.105
mol_1371.pdbqt,-9.013
mol_473.pdbqt,-10.544
mol_546.pdbqt,-9.256
mol_1782.pdbqt,-9.626
mol_89.pdbqt,-9.947
mol_1930.pdbqt,-10.129
mol_1479.pdbqt,-9.411
mol_1136.pdbqt,-9.924
mol_1397.pdbqt,-8.211
mol_305.pdbqt,-10.597
mol_692.pdbqt,-8.823
mol_1466.pdbqt,-10.056
mol_893.pdbqt,-9.9
mol_1099.pdbqt,-9.045
mol_1305.pdbqt,-10.707
mol_847.pdbqt,-9.684
mol_1822.pdbqt,-9.258
mol_1941.pdbqt,-7.255
mol_409.pdbqt,-8.718
mol_580.pdbqt,-8.847
mol_532.pdbqt,-9.646
mol_1225.pdbqt,-9.109
mol_1586.pdbqt,-9.153
mol_1962.pdbqt,-9.148
mol_245.pdbqt,-8.535
mol_1801.pdbqt,-10.043
mol_968.pdbqt,-10.506
